act_s,count,act
"",11282,
"'",11160,1
"''",20887,2
"'Tamil Nadu City Police Act",371,3
"(BOMBAY) NATIONAL PARK ACT, 1950",2,4
"(Bihar) Narcotic Drugs and Psychotropic Substance4 Rules",2594,5
"(Care and Protection of Children) Act-2000",93,6
"(Care and Protection of Children) Act-2000\",295,7
"(Indian) Lunacy (M.P.Amendment) Act 1952",3,8
"(Non-Trading) Companies Act (Bihar)",61278,9
"(Rajya) Matsya vikas Nigam Adhiniyam 1979",1,10
"(Rajya) Suraksha Adhiniyam",5,11
"(Rajya) Suraksha Adhiniyam 1990",1006,12
",,",4,13
"-",118169,14
"--",2252,15
"--'a",671,16
"---",162447,17
"-----",517,18
".",212774,19
"..",12726,20
"... 504 506",2,21
"...................",3776,22
"................................",7,23
".....326",1,24
"....103 k.p.Act",10,25
"....112 r/w 183 14.d.r/w 177 m.v.act",1,26
"....12 of domestic violance act",31,27
"....142 NI Act",1,28
"....3 r/w 181 m.v.act",38,29
"....494 496",2,30
"....63",2154,31
"....U/o VII Rule 1 Of CPC",1083,32
"....U/sec 284 of the Karnataka Muncipalities Act 1964.",1,33
"...109 K.P.Act",10,34
"...128  of Cr.p.c.for recovery of Arrears of Maintainance amt.",13,35
"...181 m.v.Act",8,36
"...184 m.v act",13,37
"...219 R/w 177 M.V Act",1,38
"...323",7,39
"...323 324",5,40
"...498 .a",5,41
"...Narcotic Drugs and Psychotropic Substance Act",2,42
"..112 R/w 177 m.v.act",1,43
"..119.M.V.Act",4,44
"..13.3.R/W 177 M.V.Act",1,45
"..143 147 323 324 354 341 504 506.2.r/w 149",1,46
"..146 r/w 196 mv Act",4,47
"..15.a.32,34,38.a.K.E.Act",1,48
"..1985 r/w 3 and 7 of E C act",1,49
"..201 m.v act",1,50
"..6.a.Seeds Act",1,51
"..66 .1. R/w 192 Mv act",3,52
"..78.3. KP Act",26,53
"..79 80 kp Act",1,54
"..Bail Bond for fitted Case",1,55
".29.1, 22.4 and Rule 30 Act.",5,56
".4.1and 3 R 3,12.1 and 29 Rule 24.11.",2,57
".Animal rights",43,58
".Narcotic Drugs and Psychotropic Sub(Execution of Bond by Convicts ) Rules",2,59
"/",57,60
"/U/S 363, 376 of IPC and Sec. 3(I), (II), (V) of SC/ST Act & Sec., 4, 8 PCSO Act-2012",1,61
"0",194,62
"00",1,63
"0000000",12,64
"010",2,65
"1 C.P.C",296,66
"1 CPC",1301,67
"1 DOMESTIC VIOLENCE",75,68
"1 Rule 10,2 of CPC",6,69
"1. Protection of Children from Sexual Offences Act, 2012",3,70
"1.Code of Civil Procedure",16163,71
"10 GUNDA ACT",30,72
"10 UA (P) Act",42,73
"10 of Child Marriage Act and Sec. 4, 17 of POCSO Act.",1,74
"10 of KPVAO ACT 1974",1,75
"10 of Spl Marriage Act",29,76
"10 rw sec 13  3 of  B  and  D  Act",12,77
"10(ix) of Indian Divorce Act",1,78
"10, vii, ix of Christian Divorce Act 1869",1,79
"10,12,13 The unlawful Actvities Prevtn act 1967,3 and 25 Arms Act 1959 Explosive Substances act 1908",2597,80
"10.Protection of Women from Domestic Violence Act",312,81
"100 R/w.177 M.V. Act",2,82
"101 RW 177 M.V.RULES",9,83
"101(1)(a) of the Karnataka Co-Operative Societies Act, 1959 r/w order XXI rule 11 of the CPC",1,84
"102 of crpc rw 457 2 of Crpc",1,85
"103  K.P.ACT",37,86
"103  ii  kp act",84,87
"103 K.P.ACT.",323,88
"103 k.p.act",91,89
"105 1 K P Act",17,90
"105 K P ACT",1,91
"105 K.P.ACT",49,92
"105 K.P.ACT.",72,93
"105 Of K P Act",22,94
"105 k.p.act.",86,95
"106 K.P.ACT.",28,96
"106 RW 177 M.V.RULES",2,97
"1076",5,98
"108(A) BWSSB Act",2,99
"109, 92 R KP ACT",5,100
"10Assam game and Betting Act",24,101
"10Assam tea Plantaion F Act",5,102
"10Explosive Substances Act",14,103
"11 12 14 32 38.A of K.E. act",4,104
"11 12 14 R/w.32 38.A of K.E. Act",1,105
"11 12 14 R/w.32 of K.E. Act",3,106
"11 12 14 r/w 34 KE Act",1,107
"11 13  14 R/w 32 KE Act",1,108
"11 13 14  15 32 (1) 38 A K EX ACT",1,109
"11 13 14 15 K EX ACT",3,110
"11 13 14 15 K EX ACT 32 (1) 38 (A) K EX ACT",2,111
"11 14 32 38(A) 43(A) of Karnataka Excise Act  1965",1,112
"11 14 32 K EX ACT",3,113
"11 14 K EX ACT",1,114
"11 Cow Slaughter Prevention Act",2,115
"11 Karanataka Prevention of Cow Slaughter and Cattle Preservation Act 1964",5,116
"11 OF HINDU MARRIAGE ACT",6,117
"11 of Prevention of Cruelti Animal Act 1960",33,118
"11 pashu nivaran adiniyam 1960",1,119
"11(1) (A) (D) (E) of Prevention of Cruelty to Animals Act",2,120
"11, 12,  14 and U/sec.32, 38.A of K.E. Act",1,121
"11, 12, 14 R/w 32  1  of Karnataka Excise Act",18,122
"11, 14, 32-1, 34, 38A, 43, 54 of KE Act.",1,123
"11,13,14  R/W 32,34,38A AND 43 KE ACT",8,124
"11,13,14 AND 32,34 EX ACT",4,125
"11,13,14 AND 32,34,38/A KAR EXCISE ACT",3,126
"11,13,14,15 AND 32,34 EX ACT",3,127
"11,13,32,34 EXCISE ACT",8,128
"11,14,15,32,34 of Karnataka Excise Act.",1,129
"11,14,32 EXCISE",1,130
"11. 14.15.32.34.38 A . 43 A Karnataka Excise Act 1965.",8,131
"11.Juvenile Justice (Care and Protection of Children) Act",150,132
"113 R/W 194 MV Act",4,133
"113r/w 194 M.V.Act.",2,134
"114,323,324,332,353,355,504,506 r/w 34 of IPC and Sec.3(1)(m), 3(1)(r),3(1)(s),3(2)(va) of SC/ST Act",1,135
"115 R/w.190.2 of M.V. Act",1,136
"115 RW 177 M.V.ACT",17,137
"115 RW 190  2 IMV Act",10,138
"115, 120(B), 302, 307 r/w 34 of IPC and Sec. 3(2)(V) of SC/ST POA ACT",1,139
"117 R/w 177 M V ACT",1,140
"117 RW 177 M.V.ACT",76,141
"117 r w 177 IMV Act",3,142
"117 r/w 177 m.v.act",1,143
"117A OF K A M  REGULATION  ACT 1966",1,144
"119 R/W 177 , 128 R/W 177, 138 R/W 177 M V ACT",1,145
"119 RW 177 M.V.ACT",17,146
"12 1 K.M.V.T",7,147
"12 1 c Of Hindu Marriage Act",1,148
"12 AND 13 CLAUSE 1 KST ACT RW 17 CLAUSE 1 KST ACT",4,149
"12 Domestic Voilence ACT",785,150
"12 I.P.P. Act.",82,151
"12 O.M.M. ACT",3,152
"12 OF D.V ACT",12,153
"12 OF D.V.C. ACT 2005",155,154
"12 PWDV Act.",1,155
"12 R/W sec 17,18,19,20,22 Protection of Women DV ACT",51,156
"12 b and c  of the Hindu Marriage Act 1955",1,157
"12 clause 1 b  and c of HM Act 1955",8,158
"12 of Domestic Violence Act",590,159
"12 of Domestic violence act",26,160
"12 of POCSO Act 2012",3,161
"12 of PWDV Act",186,162
"12 of Protection of Women from  Domestic Violence Act",34,163
"12 of Protection of Women from Domestic Violence Act",5,164
"12 of the Protection of Women from Domestic Violence Act",7,165
"12 of womens   domestic voilence Act",2,166
"12.Indian Divorce Act",4,167
"120 B 406 408 409 420 RW 34 IPC",1,168
"120 RW 177 M.V.RULES",6,169
"120(B), 302, 307, 201 r/w 34  of IPC and Sec. 3(2),(VA)  SC/ST  Act 2015",2,170
"121-A",419,171
"123 1 2 RP Act",2,172
"125    Cr. PC",196,173
"125 (1)(2) CPC",11,174
"125 (3) Cr. P.C.",169,175
"125 (3) Intrim",484,176
"125 (Interim) C.R.P.C.",1111,177
"125 1 of CPC",108,178
"125 CLASS 3",26,179
"125 Cr. P.C.",199,180
"125 iii Maintenance",267,181
"125 of Cr. P.C.",121,182
"125(3)",359,183
"127 C.P.C.",1,184
"127 READ WITH 177 IMV ACT",3,185
"127A of Representation of People Act 1950 1951 1989",1,186
"128 1 r w 177 I M V Act",1,187
"128 Cr.P.C. of Maintenance Acct",22,188
"128(A) R/w. 177 I.M.V. Act",1,189
"128. 2 r/w 137 m.v.a ct.",2,190
"128.1 R/w.177 of M.V. Act",8,191
"13   3  of Karnataka Reg. Birth and Death Act 1969",7159,192
"13  1 BIRTH AND DEATH ACT",18,193
"13  3 birth and death  Act",280,194
"13 (1) A  of Hindu Marriage Act",6,195
"13 (1)(i)(ia) and (ib) of Hindu Marriage Act 1955",1,196
"13 (2) kar reg of births and deaths act",234,197
"13 (3)  10(3) BIRTH AND DEATH ACT",39,198
"13 (I) (ii) (ii) (iv) r/w 177, 128r/w 177, 14 (a) (b) r/w 177 M V ACT",3,199
"13 (i-a) of Hindu Marriage Act",3,200
"13 .1. Birth and Death Registration Act",968,201
"13 .2. Birth and Death Registration Act",175,202
"13 .B. OF HINDU MARRIAGE ACT",135,203
"13 1 1A 1B OF HINDU MARRIAGE ACT",851,204
"13 1 A 14 15",21,205
"13 1 A and B of Hindu Marriage Act",2,206
"13 1 Hindu Marriage Act 1955",6,207
"13 1 a , 14 , 15 of KE Act",307,208
"13 1 a and  b of the Hindu Marriage Act 1955.",3,209
"13 1 i a and 13 1 i of Hindu Marriage Act 1955",19,210
"13 1 i ia ib of Hindu Marriage Act",1,211
"13 1 i.a i.b r/w 13 c 1 2 3 of Hindu marriage act 1955",1,212
"13 1. i.a Of the Hindu Marriage Act",43,213
"13 14 32 38 A 43 A K EX ACT",1,214
"13 14 32 38 K EX ACT",3,215
"13 2  OF BIRTH AND DEATH ACT",52,216
"13 2 Birth and death Act",9,217
"13 3 B  and  D Act",5580,218
"13 3 Birth and Death Act",2418,219
"13 3 OF THE K.R.B. AND D ACT",9,220
"13 3 birth and death act",3251,221
"13 3 birth and death, registration act",984,222
"13 3 of Birth and Death Act",2839,223
"13 3 of Registration of Birth and Death act",794,224
"13 3 of Registration of Births and deaths act1969",4,225
"13 A.U/sec 12 ,13 A R/w  5 ,19 PD Act",1,226
"13 B Hindu Marriage Act",33,227
"13 B Hindu Marriage Act 1965",12,228
"13 B of Hindu Marriage Act",1,229
"13 CLASS 3 BIRTH AND DEATH ACT",8427,230
"13 CLASS 3 BIRTH AND DEATH REG ACT",3352,231
"13 CLAUSE 3 AND 14 OF BIRTH AND DEATH ACT 1969",3111,232
"13 CLAUSE 3 OF KARANTAKA BIRTH AND DEATH REGISTRATION ACT",1763,233
"13 Cl 3  b of KST Act 1957",15,234
"13 Clause 3 of B and D Act",801,235
"13 G Act",171,236
"13 Gambling Act",72,237
"13 HM Act",64,238
"13 OF 1 OF A OF AND B of HIMDU MARRIAGE ACT",2,239
"13 OF 1 OF IA of HINDU MARRIAGE ACT",3,240
"13 OF 3 Birth and Death act",1817,241
"13 PGA 0",15,242
"13 R (i) (ii) (iii) (iv) r/w 177 M V ACT 128 R/W 177 M V ACT 199 R/W 177 M V ACT",1,243
"13 R (i) (ii) (iii) (iv) r/w 177, 146 r/w 196, cmv 115 r/w 190(2) , 128 r/w 177 IMV ACT",5,244
"13 R(i) (ii) (iii) (iv) r/w 177 M V ACT 128 R/W 177, 119 R/W 177, CMV 51 P/W 177 M V ACT",2,245
"13 R.P.G.O",155,246
"13 R.P.G.O.",66,247
"13 R.P.G.O. Act",1263,248
"13 R.P.G.O.ACT",1408,249
"13 R/w 3 Birth and Death Act",942,250
"13 RGO act",85,251
"13 RPGO",6613,252
"13 RPGO ACT",1,253
"13 Rice Mill  Industry Revolution Act",2,254
"13 SUB 3 OF BIRTH AND DEATH ACT",1637,255
"13 Sub 3 of Birth and Death Registration Act 1969",12897,256
"13 U.L Act",14,257
"13 UA (P) Act",2,258
"13 Wall Nut Act",1,259
"13 _3  of Kar.Regi. Birth and Death Act 1969",1385,260
"13 clause 3 OF Birth and Death Act.",5673,261
"13 clause 3 of birth and death act",2883,262
"13 clause 3 of registration of birth and death act",1970,263
"13 ia and iii of Hindu Marriage Act",5,264
"13 of 1(ia) of Hindu Marraige Act",12,265
"13 of 2 of iii of th Hindu Marriage Act",1,266
"13 of 3 Birth and Death",16611,267
"13 of 3 Birth and Death Act",2728,268
"13 of 3 of birth and death act.",14,269
"13 of Hindu Marriage Act",13,270
"13 of Hindu Marriage Act 1955",33,271
"13 of Rice Mill Industry Revolution Act",4,272
"13 of ib  6,  13 and 13 of iii 1 and 22  of Hindu Marriage  Act",1,273
"13 of indian lunancy act",1,274
"13 of1 F 32,34, KE Act redwith 272,273 of IPC",26,275
"13 of3 BOD",1294,276
"13(1) (i-a) (i-b) Hindu marriage Act",1,277
"13(1) (i-a) of Hindu Marriage Act",36,278
"13(1) 1(A) 1(B) OF HINDU MARRAIGE ACT",18,279
"13(1) 14 R/W 32,38 (A)of K.Ex.Act.",1,280
"13(1) of Hindu Marriage Act",1,281
"13(1)(I-A) of 1955",6,282
"13(1)(e) r/w 13(2) of P.C. Act 1988",5,283
"13(1), 1(A) ,(1B) of Hindu Marriage Act",15,284
"13(2) of Karnataka Registration of Births and Deaths Act",363,285
"13(2) tourist and buissness act 2010",28,286
"13(3) Birth and Death Act",25,287
"13(3) of Births and Deaths Registration Act",184,288
"13(3) of Register of Birth and Death Act 1969",150,289
"13(3)BIRTH AND DEATH ACT",1520,290
"13(B) of Birth and Death Act",1,291
"13(I) (II) (III)(IV) R/W 177, 128 R/W 177, 119 R/W 177 IMV ACT",1,292
"13(R)(i) (ii)(iii)(iv) r/w 177, rule13(S) R/w 177, 230 R/w177, CMV Rule51 r/w 177, 179 IMV Act",1,293
"13(S) R/w 177 M.C Act U/sec 14(a)(b) R/w 177 MV Act",1,294
"13(c) of P.C. Act 1988",2,295
"13(i),(ia),(iii),(iv)",1,296
"13(i, i-a, i-b) of Hindu Marriage Act",19,297
"13(r)(i)(iii)(iv) r/w 177  IMV Act",1,298
"13(r)(ii) R/w 177, CMV rule 115 r/w 190(2) IMV Act",1,299
"13, 15 CL A 32, 34 KARNATAKA EXCISE  ACT",6,300
"13,15 A , 32 OF K.E. ACT",1,301
"13,15,32 K.EX.ACT",5,302
"13-3 Birth and Death Act",594,303
"13-3 of Birth and Death Act",1075,304
"13-3-67 GAMBLEING ACT",67,305
"13. 3 of B and D act",1632,306
"13.1  I.a of Hindu Marriage Act",35,307
"13.1.E r.w 13.2",1,308
"13.1.E. R/w  13 .2. PC Act 1988",4,309
"13.3 of Birth and Death Act",5,310
"13.3 of Registration of Birth and Death Act 1969",1578,311
"13.3 of the registration of B and D Act 1969 R/w. rule 10.3",310,312
"13.3 of the registration of B and D Act 1969 R/w. rule 9.3",16,313
"13.3. Birth and  Death Act",1908,314
"13.5 R/w.177 of M.V. Act",11,315
"13.B. Hindu Marriage Act 1955",114,316
"13.R.11 R/w.177 of M.V. Act",1,317
"13.R.II R/w.177 of M.V. Act",14,318
"13.R.III R/w.177 of M.V. Act",9,319
"13.V R/w.177 of M.V. Act",1,320
"13.r r/w 177 m.v.a ct",4,321
"13/1 BIRTH AND DEATH ACT",25,322
"13/13(2) Haryana Gauvansh Sanrakshan And Gausamvardhan Act, 2015",9,323
"13/3 BIRTH AND DEATH ACT",2872,324
"13/3 of Birth and Death Act",104,325
"130 3 R/W 177 IMV ACT",6,326
"130 3 RW 177 M.V.ACT",38,327
