year,state_code,state_name,district_name,dist_code,court_no,court_name
2010,"01","Maharashtra","Nandurbar","01","01","Chief Judcial Magistrate Nandurbar"
2010,"01","Maharashtra","Nandurbar","01","02","Civil Court Senior Division Nandurbar"
2010,"01","Maharashtra","Nandurbar","01","03","DISTRICT AND SESSIONS COURT, NANDURBAR"
2010,"01","Maharashtra","Nandurbar","01","04","Civil Court J.D. and J.M.F.C.Taloda"
2010,"01","Maharashtra","Nandurbar","01","05","Jt. Civil Court J.D. and J.M.F.C. Shahada"
2010,"01","Maharashtra","Nandurbar","01","06","Civil Court S.D. Shahada"
2010,"01","Maharashtra","Nandurbar","01","07","Additional District  And Sessions Court Shahada"
2010,"01","Maharashtra","Nandurbar","01","08","Civil Court, J.D. and J.M.F.C., Nawapur."
2010,"01","Maharashtra","Nandurbar","01","09","Civil Court J.D. and J.M.F.C., Akkalkuwa"
2010,"01","Maharashtra","Nandurbar","01","10","C.J.J.D. AND J.M.F.C., DHADGAON/AKRANI"
2010,"01","Maharashtra","Dhule","02","01","DISTRICT AND SESSIONS COURT, DHULE"
2010,"01","Maharashtra","Dhule","02","02","CHIEF JUDICIAL MAGISTRATE COURT, DHULE"
2010,"01","Maharashtra","Dhule","02","03","CIVIL COURT SENIOR DIVISION, DHULE"
2010,"01","Maharashtra","Dhule","02","04","Civil Court J.D. and J.M.F.C., Dondaicha"
2010,"01","Maharashtra","Dhule","02","05","Civil  Court J.D. Sakri"
2010,"01","Maharashtra","Dhule","02","06","Civil Court J.D. Shindkheda"
2010,"01","Maharashtra","Dhule","02","07","Civil Court J.D. Shirpur"
2010,"01","Maharashtra","Jalgaon","03","01","CIVIL-CUM-CRIMINAL COURT DHARANGAON"
2010,"01","Maharashtra","Jalgaon","03","02","DISTRICT AND SESSIONS COURT JALGAON"
2010,"01","Maharashtra","Jalgaon","03","03","CHIEF JUDICIAL MAGISTRATE, JALGAON"
2010,"01","Maharashtra","Jalgaon","03","04","CIVIL COURT SENIOR DIVISION JALGAON"
2010,"01","Maharashtra","Jalgaon","03","05","DISTRICT COURT 1 AND ADDL. SESSIONS COURT, AMALNER"
2010,"01","Maharashtra","Jalgaon","03","06","JUDICIAL MAGISTRATE F.C.AMALNER"
2010,"01","Maharashtra","Jalgaon","03","07","CIVIL COURT SR.DIVN. AMALNER"
2010,"01","Maharashtra","Jalgaon","03","08","CIVIL-CUM-CRIMINAL COURT BHADGAON"
2010,"01","Maharashtra","Jalgaon","03","09","CIVIL CUM CRIMINAL COURT BHUSAWAL"
2010,"01","Maharashtra","Jalgaon","03","10","JUDICIAL MAGISTRATE F C RLY BHUSAWAL"
2010,"01","Maharashtra","Jalgaon","03","11","CIVIL-CUM-CRIMINAL COURT CHALISGAON"
2010,"01","Maharashtra","Jalgaon","03","12","CIVIL CUM CRIMINAL  COURT CHOPDA"
2010,"01","Maharashtra","Jalgaon","03","13","CIVIL CUM CRIMINAL COURT ERANDOL"
2010,"01","Maharashtra","Jalgaon","03","14","CIVIL-CUM-CRIMINAL COURT JAMNER"
2010,"01","Maharashtra","Jalgaon","03","15","CIVIL CUM CRIMINAL COURT MUKTAINAGAR"
2010,"01","Maharashtra","Jalgaon","03","16","CIVIL-CUM-CRIMINAL COURT PACHORA"
2010,"01","Maharashtra","Jalgaon","03","17","CIVIL CUM CRIMINAL COURT PAROLA"
2010,"01","Maharashtra","Jalgaon","03","18","CIVIL CUM CRIMINAL COURT YAWAL"
2010,"01","Maharashtra","Jalgaon","03","19","CIVIL AND CRIMINAL COURT RAVER"
2010,"01","Maharashtra","Jalgaon","03","21","Civil Court Senior Division, Bhusawal"
2010,"01","Maharashtra","Jalgaon","03","22","CIVIL COURT SENIOR DIVISION CHALISGAON"
2010,"01","Maharashtra","Buldhana","04","01","DISTRICT COURT, BULDANA"
2010,"01","Maharashtra","Buldhana","04","02","CHIEF JUDICIAL MAGISTRATE BULDANA."
2010,"01","Maharashtra","Buldhana","04","03","COURT OF CIVIL JUDGE SR.DN. BULDANA"
2010,"01","Maharashtra","Buldhana","04","04","CIVIL COURT JR. DN. CHIKHLI"
2010,"01","Maharashtra","Buldhana","04","05","CIVIL JUDGE JR.DN.  JMFC DEULGAON RAJA"
2010,"01","Maharashtra","Buldhana","04","06","CIVIL JUDGE JR.DN.  J.M.F.C. JALGAON JAMOD."
2010,"01","Maharashtra","Buldhana","04","07","CIVIL JUDGE JR.DN. MEHKAR"
2010,"01","Maharashtra","Buldhana","04","08","Civil Judge J.D J.M.F.C .MALKAPUR"
